element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
C,3,"=""2875.091""","=""1.19e+07""","=""4.92e-03""",B,"=""38.367799""","=""42.680157""","=""1s2.2s.4s""","=""3S""","=""1""","=""1s2.2s.5p""","=""3P*""","=""0""",,
C,3,"=""2875.288""","=""1.19e+07""","=""1.47e-02""",B,"=""38.367799""","=""42.679860""","=""1s2.2s.4s""","=""3S""","=""1""","=""1s2.2s.5p""","=""3P*""","=""1""",,
C,3,"=""2875.562""","=""1.19e+07""","=""2.46e-02""",B,"=""38.367799""","=""42.679450""","=""1s2.2s.4s""","=""3S""","=""1""","=""1s2.2s.5p""","=""3P*""","=""2""",,
C,2,"=""2885.64""","=""5.8e+07""","=""1.4e-01""",C,"=""24.370080""","=""28.66667""","=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""","=""2s.2p.(3P*).5f""","=""4F""","=""3/2""",,
C,2,"=""2885.720""","=""4.2e+07""","=""7.9e-02""",C,"=""24.370757""","=""28.66723""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""2s.2p.(3P*).5f""","=""4F""","=""5/2""",,
C,2,"=""2885.731""","=""1.8e+07""","=""3.0e-02""",C,"=""24.371800""","=""28.668257""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).5f""","=""2F""","=""7/2""",,
C,2,"=""2886.10""","=""2.1e+07""","=""2.7e-02""",C,"=""24.370757""","=""28.66667""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""2s.2p.(3P*).5f""","=""4F""","=""3/2""",,
C,2,"=""2886.259""","=""7.82e+07""","=""1.22e-01""",C+,"=""24.373054""","=""28.668725""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).5f""","=""4F""","=""9/2""",,
C,2,"=""2886.345""","=""1.9e+07""","=""3.5e-02""",C,"=""24.370757""","=""28.666300""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""2s.2p.(3P*).5f""","=""2F""","=""5/2""",,
C,2,"=""2886.394""","=""5.06e+07""","=""8.43e-02""",C+,"=""24.371800""","=""28.667271""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).5f""","=""4F""","=""7/2""",,
