element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
He,1,"=""19398.850942""","=""2.9506e+04""","=""9.9878e-04""",AAA,"=""[23.73633503536]""","=""[24.375466697350]""","=""1s.4d""","=""1D""","=""2""","=""1s.8p""","=""1P*""","=""1""",,
He,1,"=""19411.4406272""","=""1.216e+04""","=""6.868e-04""",AA,"=""[23.73609019010]""","=""[24.3748073302369]""","=""1s.4d""","=""3D""","=""3""","=""1s.8f""","=""1F*""","=""3""",,
He,1,"=""19411.4451515""","=""9.307e+04""","=""7.360e-03""",AA,"=""[23.73609033897]""","=""[24.3748073302369]""","=""1s.4d""","=""3D""","=""2""","=""1s.8f""","=""1F*""","=""3""",,
He,1,"=""19411.4468464""","=""2.0626e+03""","=""8.3226e-05""",AAA,"=""[23.73609019010]""","=""[24.3748071255995]""","=""1s.4d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""2""",,
He,1,"=""19411.4509011""","=""4.6409e+05""","=""3.3707e-02""",AAA,"=""[23.73609019010]""","=""[24.3748069921824]""","=""1s.4d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""4""",,
He,1,"=""19411.4513707""","=""7.2183e+04""","=""4.0776e-03""",AAA,"=""[23.73609033897]""","=""[24.3748071255995]""","=""1s.4d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""2""",,
He,1,"=""19411.4531841""","=""3.9407e+04""","=""2.2261e-03""",AAA,"=""[23.73609019010]""","=""[24.3748069170618]""","=""1s.4d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""3""",,
He,1,"=""19411.4577084""","=""3.1946e+05""","=""2.5265e-02""",AAA,"=""[23.73609033897]""","=""[24.3748069170618]""","=""1s.4d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""3""",,
He,1,"=""19411.5211525""","=""3.8984e+05""","=""3.6704e-02""",AAA,"=""[23.73609263507]""","=""[24.3748071255995]""","=""1s.4d""","=""3D""","=""1""","=""1s.8f""","=""3F*""","=""2""",,
He,1,"=""19418.8846452""","=""3.5829e+05""","=""2.8358e-02""",AAA,"=""[23.73633503536]""","=""[24.3748073302369]""","=""1s.4d""","=""1D""","=""2""","=""1s.8f""","=""1F*""","=""3""",,
He,1,"=""19418.8972118""","=""1.051e+05""","=""8.314e-03""",AA,"=""[23.73633503536]""","=""[24.3748069170618]""","=""1s.4d""","=""1D""","=""2""","=""1s.8f""","=""3F*""","=""3""",,
He,1,"=""19438.8493552""","=""3.575e+03""","=""2.604e-04""",AA,"=""[23.737006806968]""","=""[24.3748233575671]""","=""1s.4f""","=""3F*""","=""3""","=""1s.8g""","=""1G""","=""4""",,
He,1,"=""19438.8509250""","=""1.8624e+04""","=""1.0550e-03""",AAA,"=""[23.737006806968]""","=""[24.3748233060576]""","=""1s.4f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""3""",,
He,1,"=""19438.8557988""","=""3.4688e+05""","=""2.5265e-02""",AAA,"=""[23.737006806968]""","=""[24.3748231461435]""","=""1s.4f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""4""",,
He,1,"=""19438.8763341""","=""1.095e+04""","=""6.203e-04""",AA,"=""[23.737007692183]""","=""[24.3748233575671]""","=""1s.4f""","=""3F*""","=""4""","=""1s.8g""","=""1G""","=""4""",,
He,1,"=""19438.8779039""","=""4.6549e+02""","=""2.0510e-05""",AAA,"=""[23.737007692183]""","=""[24.3748233060576]""","=""1s.4f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""3""",,
He,1,"=""19438.8802272""","=""3.6494e+05""","=""2.5268e-02""",AAA,"=""[23.737007692183]""","=""[24.3748232298280]""","=""1s.4f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""5""",,
He,1,"=""19438.8827777""","=""1.1860e+04""","=""6.7187e-04""",AAA,"=""[23.737007692183]""","=""[24.3748231461435]""","=""1s.4f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""4""",,
He,1,"=""19438.9104702""","=""3.3515e+05""","=""2.6581e-02""",AAA,"=""[23.737008760725]""","=""[24.3748233060576]""","=""1s.4f""","=""3F*""","=""2""","=""1s.8g""","=""3G""","=""3""",,
He,1,"=""19438.9382003""","=""3.5042e+05""","=""2.5523e-02""",AAA,"=""[23.737009722091]""","=""[24.3748233575671]""","=""1s.4f""","=""1F*""","=""3""","=""1s.8g""","=""1G""","=""4""",,
He,1,"=""19438.9397702""","=""1.070e+04""","=""6.063e-04""",AA,"=""[23.737009722091]""","=""[24.3748233060576]""","=""1s.4f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""3""",,
He,1,"=""19438.9446439""","=""6.200e+03""","=""4.516e-04""",AA,"=""[23.737009722091]""","=""[24.3748231461435]""","=""1s.4f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""4""",,
He,1,"=""19442.0137993""","=""2.445e+03""","=""9.898e-05""",AA,"=""[23.737006806968]""","=""[24.374719544511]""","=""1s.4f""","=""3F*""","=""3""","=""1s.8d""","=""1D""","=""2""",,
He,1,"=""19442.1026734""","=""4.4094e+03""","=""1.7848e-04""",AAA,"=""[23.737009722091]""","=""[24.374719544511]""","=""1s.4f""","=""1F*""","=""3""","=""1s.8d""","=""1D""","=""2""",,
He,1,"=""19443.1920234""","=""3.9611e+03""","=""1.6035e-04""",AAA,"=""[23.737006806968]""","=""[24.374680900214]""","=""1s.4f""","=""3F*""","=""3""","=""1s.8d""","=""3D""","=""2""",,
He,1,"=""19443.1926376""","=""3.4865e+02""","=""1.9760e-05""",AAA,"=""[23.737006806968]""","=""[24.374680880069]""","=""1s.4f""","=""3F*""","=""3""","=""1s.8d""","=""3D""","=""3""",,
He,1,"=""19443.2196286""","=""6.3528e+03""","=""2.8004e-04""",AAA,"=""[23.737007692183]""","=""[24.374680880069]""","=""1s.4f""","=""3F*""","=""4""","=""1s.8d""","=""3D""","=""3""",,
He,1,"=""19443.2428891""","=""6.9175e+03""","=""2.3523e-04""",AAA,"=""[23.737008760725]""","=""[24.374681185743]""","=""1s.4f""","=""3F*""","=""2""","=""1s.8d""","=""3D""","=""1""",,
He,1,"=""19443.2515952""","=""7.6855e+02""","=""4.3558e-05""",AAA,"=""[23.737008760725]""","=""[24.374680900214]""","=""1s.4f""","=""3F*""","=""2""","=""1s.8d""","=""3D""","=""2""",,
He,1,"=""19443.2809082""","=""2.188e+03""","=""8.857e-05""",AA,"=""[23.737009722091]""","=""[24.374680900214]""","=""1s.4f""","=""1F*""","=""3""","=""1s.8d""","=""3D""","=""2""",,
He,1,"=""19443.2815225""","=""2.004e+02""","=""1.136e-05""",AA,"=""[23.737009722091]""","=""[24.374680880069]""","=""1s.4f""","=""1F*""","=""3""","=""1s.8d""","=""3D""","=""3""",,
He,1,"=""19459.56425""","=""1.5207e+05""","=""2.5899e-02""",AAA,"=""[23.673570590]""","=""[24.31070817873]""","=""1s.4s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",,
He,1,"=""19522.743549""","=""4.8183e+04""","=""1.9665e-03""",AAA,"=""[23.73609019010]""","=""[24.37116588077]""","=""1s.4d""","=""3D""","=""3""","=""1s.8p""","=""3P*""","=""2""",,
He,1,"=""19522.744028""","=""4.3015e+04""","=""1.4747e-03""",AAA,"=""[23.73609033897]""","=""[24.37116601407]""","=""1s.4d""","=""3D""","=""2""","=""1s.8p""","=""3P*""","=""1""",,
He,1,"=""19522.748126""","=""8.6030e+03""","=""4.9157e-04""",AAA,"=""[23.73609033897]""","=""[24.37116588077]""","=""1s.4d""","=""3D""","=""2""","=""1s.8p""","=""3P*""","=""2""",,
He,1,"=""19522.764272""","=""5.7360e+04""","=""1.0925e-03""",AAA,"=""[23.73609263507]""","=""[24.37116765163]""","=""1s.4d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""0""",,
He,1,"=""19522.814612""","=""1.4340e+04""","=""8.1939e-04""",AAA,"=""[23.73609263507]""","=""[24.37116601407]""","=""1s.4d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""1""",,
He,1,"=""19522.818710""","=""5.7360e+02""","=""5.4626e-05""",AAA,"=""[23.73609263507]""","=""[24.37116588077]""","=""1s.4d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""2""",,
