element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
O,7,"=""387.528""","=""1.053e+07""","=""3.946e-04""",AA,"=""(665.1906)""","=""(697.1842)""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""2""",,
O,7,"=""387.643""","=""7.889e+08""","=""1.065e-02""",AA,"=""(665.1916)""","=""(697.1757)""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""1""",,
O,7,"=""387.540""","=""1.578e+08""","=""3.549e-03""",AA,"=""(665.1916)""","=""(697.1842)""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""2""",,
O,7,"=""387.616""","=""8.835e+08""","=""1.420e-02""",AA,"=""(665.1979)""","=""(697.1842)""","=""1s.3d""","=""3D""","=""3""","=""1s.4p""","=""3P*""","=""2""",,
O,3,"=""387.3971""","=""5.69e+09""","=""4.27e-02""",C+,"=""17.65309""","=""49.657518""","=""2s.2p3""","=""3P*""","=""1""","=""2s.2p2.(4P).3d""","=""3P""","=""0""",,
O,7,"=""386.462""","=""1.689e+10""","=""6.334e-01""",AA,"=""(665.5744)""","=""(697.6562)""","=""1s.3p""","=""1P*""","=""1""","=""1s.4d""","=""1D""","=""2""",,
O,3,"=""387.4768""","=""2.37e+09""","=""3.20e-02""",C+,"=""17.65299""","=""49.650835""","=""2s.2p3""","=""3P*""","=""2""","=""2s.2p2.(4P).3d""","=""3P""","=""1""",,
O,3,"=""387.4780""","=""1.42e+09""","=""3.20e-02""",C+,"=""17.65309""","=""49.650835""","=""2s.2p3""","=""3P*""","=""1""","=""2s.2p2.(4P).3d""","=""3P""","=""1""",,
O,3,"=""387.4955""","=""1.89e+09""","=""1.28e-01""",C+,"=""17.65454""","=""49.650835""","=""2s.2p3""","=""3P*""","=""0""","=""2s.2p2.(4P).3d""","=""3P""","=""1""",,
O,3,"=""387.6411""","=""4.26e+09""","=""9.60e-02""",C+,"=""17.65299""","=""49.637267""","=""2s.2p3""","=""3P*""","=""2""","=""2s.2p2.(4P).3d""","=""3P""","=""2""",,
O,3,"=""387.6423""","=""1.42e+09""","=""5.33e-02""",C+,"=""17.65309""","=""49.637267""","=""2s.2p3""","=""3P*""","=""1""","=""2s.2p2.(4P).3d""","=""3P""","=""2""",,
O,2,"=""387.64932""","=""5.59e+07""","=""1.89e-03""",C+,"=""0.000000""","=""31.983597""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",,
O,2,"=""387.89770""","=""5.58e+07""","=""1.26e-03""",C+,"=""0.000000""","=""31.963118""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",,
O,2,"=""388.05453""","=""5.58e+07""","=""6.30e-04""",C+,"=""0.000000""","=""31.950200""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",,
O,5,"=""390.7741""","=""8.94e+08""","=""3.41e-02""",B,"=""67.81597""","=""99.54381""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.5p""","=""3P*""","=""2""",,
O,5,"=""390.7986""","=""8.94e+08""","=""2.05e-02""",B,"=""67.81597""","=""99.54183""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.5p""","=""3P*""","=""1""",,
O,5,"=""390.7986""","=""8.94e+08""","=""6.82e-03""",B,"=""67.81597""","=""99.54183""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.5p""","=""3P*""","=""0""",,
O,2,"=""391.90623""","=""2.38e+09""","=""2.74e-02""",C+,"=""0.000000""","=""31.636190""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4P""","=""1/2""",,
O,2,"=""391.93798""","=""2.38e+09""","=""5.48e-02""",C+,"=""0.000000""","=""31.633627""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4P""","=""3/2""",,
O,2,"=""391.99544""","=""2.38e+09""","=""8.22e-02""",C+,"=""0.000000""","=""31.628990""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4P""","=""5/2""",,
O,7,"=""392.395""","=""5.555e+09""","=""4.284e-02""",AA,"=""(665.5744)""","=""(697.1711)""","=""1s.3p""","=""1P*""","=""1""","=""1s.4s""","=""1S""","=""0""",,
O,3,"=""395.55701""","=""2.80e+09""","=""3.94e-02""",B+,"=""2.513565""","=""33.857770""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.(2P*).3s""","=""1P*""","=""1""",,
O,7,"=""397.093""","=""3.74e+07""","=""2.95e-04""",A,"=""(697.6272)""","=""(728.8502)""","=""1s.4d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""0""",,
O,7,"=""397.091""","=""9.35e+06""","=""2.21e-04""",A,"=""(697.6272)""","=""(728.8503)""","=""1s.4d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""1""",,
O,7,"=""397.078""","=""3.74e+05""","=""1.47e-05""",A,"=""(697.6272)""","=""(728.8514)""","=""1s.4d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""2""",,
O,3,"=""397.1139""","=""9.38e+08""","=""3.10e-02""",C,"=""17.65299""","=""48.87431""","=""2s.2p3""","=""3P*""","=""2""","=""2s.2p2.(2D).3s""","=""3D""","=""3""",,
O,7,"=""397.097""","=""2.80e+07""","=""3.97e-04""",A,"=""(697.6277)""","=""(728.8503)""","=""1s.4d""","=""3D""","=""2""","=""1s.8p""","=""3P*""","=""1""",,
O,7,"=""397.084""","=""5.61e+06""","=""1.33e-04""",A,"=""(697.6277)""","=""(728.8514)""","=""1s.4d""","=""3D""","=""2""","=""1s.8p""","=""3P*""","=""2""",,
O,3,"=""397.2253""","=""2.34e+08""","=""5.54e-03""",C,"=""17.65299""","=""48.86556""","=""2s.2p3""","=""3P*""","=""2""","=""2s.2p2.(2D).3s""","=""3D""","=""2""",,
O,3,"=""397.2266""","=""7.03e+08""","=""2.77e-02""",C,"=""17.65309""","=""48.86556""","=""2s.2p3""","=""3P*""","=""1""","=""2s.2p2.(2D).3s""","=""3D""","=""2""",,
O,3,"=""397.3009""","=""2.60e+07""","=""3.69e-04""",D,"=""17.65299""","=""48.85962""","=""2s.2p3""","=""3P*""","=""2""","=""2s.2p2.(2D).3s""","=""3D""","=""1""",,
O,3,"=""397.3022""","=""3.90e+08""","=""9.23e-03""",C,"=""17.65309""","=""48.85962""","=""2s.2p3""","=""3P*""","=""1""","=""2s.2p2.(2D).3s""","=""3D""","=""1""",,
O,3,"=""397.3206""","=""5.20e+08""","=""3.69e-02""",C,"=""17.65454""","=""48.85962""","=""2s.2p3""","=""3P*""","=""0""","=""2s.2p2.(2D).3s""","=""3D""","=""1""",,
O,7,"=""397.115""","=""3.12e+07""","=""5.29e-04""",A,"=""(697.6302)""","=""(728.8514)""","=""1s.4d""","=""3D""","=""3""","=""1s.8p""","=""3P*""","=""2""",,
O,2,"=""401.17984""","=""1.88e+08""","=""4.54e-03""",D,"=""3.324085""","=""34.228977""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""5/2""",,
O,2,"=""401.21206""","=""1.34e+07""","=""4.85e-04""",E,"=""3.326567""","=""34.228977""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""5/2""",,
O,2,"=""401.32695""","=""2.01e+07""","=""3.24e-04""",E,"=""3.324085""","=""34.217649""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""3/2""",,
O,2,"=""401.35919""","=""1.81e+08""","=""4.37e-03""",D,"=""3.326567""","=""34.217649""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""3/2""",,
O,2,"=""403.0349""","=""1.12e+09""","=""2.73e-02""",D,"=""3.324085""","=""34.08673""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""5/2""",,
O,2,"=""403.0544""","=""1.20e+08""","=""1.95e-03""",D,"=""3.324085""","=""34.08524""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""3/2""",,
O,2,"=""403.0675""","=""8.03e+07""","=""2.93e-03""",D,"=""3.326567""","=""34.08673""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""5/2""",,
O,2,"=""403.0870""","=""1.08e+09""","=""2.63e-02""",D,"=""3.326567""","=""34.08524""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""3/2""",,
O,2,"=""403.2730""","=""1.24e+09""","=""4.03e-02""",D,"=""3.324085""","=""34.06856""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""7/2""",,
O,2,"=""403.3394""","=""8.24e+07""","=""2.01e-03""",D,"=""3.324085""","=""34.06351""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""5/2""",,
O,2,"=""403.3720""","=""1.15e+09""","=""4.21e-02""",D,"=""3.326567""","=""34.06351""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""5/2""",,
