ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
"=""27582.68""","=""1.4024e+04""","=""9.2122e-03""",AAA,"=""13.0545017""","=""13.50400193""","=""5""","=""""","=""""","=""12""","=""""","=""""",,
"=""28729.96""","=""2.2460e+04""","=""1.3450e-02""",AAA,"=""13.0545017""","=""13.48605194""","=""5""","=""""","=""""","=""11""","=""""","=""""",,
"=""30392.02""","=""3.7999e+04""","=""2.1044e-02""",AAA,"=""13.0545017""","=""13.46245155""","=""5""","=""""","=""""","=""10""","=""""","=""""",,
"=""32969.91""","=""6.9078e+04""","=""3.6467e-02""",AAA,"=""13.0545017""","=""13.43055424""","=""5""","=""""","=""""","=""9""","=""""","=""""",,
"=""36069.708""","=""8.4239e+02""","=""1.8253e-03""",AAA,"=""13.22070389""","=""[13.56443886]""","=""6""","=""""","=""""","=""20""","=""""","=""""",,
"=""36459.26""","=""1.0993e+03""","=""2.1963e-03""",AAA,"=""13.22070389""","=""[13.56076619]""","=""6""","=""""","=""""","=""19""","=""""","=""""",,
"=""36926.36""","=""1.4571e+03""","=""2.6803e-03""",AAA,"=""13.22070389""","=""[13.55646454]""","=""6""","=""""","=""""","=""18""","=""""","=""""",,
"=""37405.55""","=""1.3877e+05""","=""7.4503e-02""",AAA,"=""13.0545017""","=""13.38596103""","=""5""","=""""","=""""","=""8""","=""""","=""""",,
"=""37493.96""","=""1.9660e+03""","=""3.3256e-03""",AAA,"=""13.22070389""","=""[13.55138166]""","=""6""","=""""","=""""","=""17""","=""""","=""""",,
"=""38194.54""","=""2.7068e+03""","=""4.2089e-03""",AAA,"=""13.22070389""","=""[13.54531624]""","=""6""","=""""","=""""","=""16""","=""""","=""""",,
"=""39075.52""","=""3.8151e+03""","=""5.4570e-03""",AAA,"=""13.22070389""","=""[13.53799772]""","=""6""","=""""","=""""","=""15""","=""""","=""""",,
"=""40208.71""","=""5.5265e+03""","=""7.2912e-03""",AAA,"=""13.22070389""","=""[13.52905552]""","=""6""","=""""","=""""","=""14""","=""""","=""""",,
"=""40521.8664""","=""1.2381e+06""","=""6.0957e-01""",AAA,"=""12.74853244632""","=""13.054501074""","=""4p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,
"=""40521.9376""","=""7.3716e+05""","=""3.6293e-01""",AAA,"=""12.74853299663""","=""13.054501086""","=""4s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
"=""40522.2121""","=""2.1503e+05""","=""5.2935e-02""",AAA,"=""12.74853244632""","=""[13.054498464]""","=""4p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",,
"=""40522.3222""","=""7.3721e+05""","=""1.8148e-01""",AAA,"=""12.74853299663""","=""13.054498182""","=""4s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
"=""40522.48747""","=""2.4121e+06""","=""8.9071e-01""",AAA,"=""12.7485381084""","=""(13.054502046336)""","=""4d""","=""2D""","=""3/2""","=""5f""","=""2F*""","=""5/2""",,
"=""40522.4892""","=""1.4858e+06""","=""5.4866e-01""",AAA,"=""12.74853811674""","=""[13.054502042]""","=""4p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",,
"=""40522.6147""","=""1.8846e+04""","=""4.6395e-03""",AAA,"=""12.7485381084""","=""13.054501086""","=""4d""","=""2D""","=""3/2""","=""5p""","=""2P*""","=""3/2""",,
"=""40522.6174""","=""2.4763e+05""","=""6.0962e-02""",AAA,"=""12.74853811674""","=""13.054501074""","=""4p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",,
"=""40522.6738""","=""4.1023e+06""","=""1.3465e+00""",AAA,"=""12.748539998""","=""(13.054502529303)""","=""4f""","=""2F*""","=""5/2""","=""5g""","=""2G""","=""7/2""",,
"=""40522.6742""","=""2.5844e+06""","=""8.4831e-01""",AAA,"=""12.74853999753""","=""13.054502526""","=""4d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""7/2""",,
"=""40522.737678""","=""1.7229e+05""","=""4.2415e-02""",AAA,"=""12.74853999753""","=""(13.054502046336)""","=""4d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""5/2""",,
"=""40522.7384""","=""2.4037e+03""","=""5.9175e-04""",AAA,"=""12.748539998""","=""[13.054502042]""","=""4f""","=""2F*""","=""5/2""","=""5d""","=""2D""","=""5/2""",,
"=""40522.76012""","=""4.2542e+06""","=""1.3091e+00""",AAA,"=""12.7485409403""","=""(13.054502819633)""","=""4f""","=""2F*""","=""7/2""","=""5g""","=""2G""","=""9/2""",,
"=""40522.69""","=""2.6993e+06""","=""1.0383e+00""",AAA,"=""12.7485393""","=""13.0545017""","=""4""","=""""","=""""","=""5""","=""""","=""""",,
"=""40522.79858""","=""1.5193e+05""","=""3.7402e-02""",AAA,"=""12.7485409403""","=""(13.054502529303)""","=""4f""","=""2F*""","=""7/2""","=""5g""","=""2G""","=""7/2""",,
"=""40522.8632""","=""4.8075e+04""","=""8.8764e-03""",AAA,"=""12.7485409403""","=""[13.054502042]""","=""4f""","=""2F*""","=""7/2""","=""5d""","=""2D""","=""5/2""",,
"=""40522.8649""","=""1.6962e+05""","=""2.7838e-02""",AAA,"=""12.74853999753""","=""13.054501086""","=""4d""","=""2D""","=""5/2""","=""5p""","=""2P*""","=""3/2""",,
"=""40522.8665""","=""5.0480e+04""","=""8.2849e-03""",AAA,"=""12.748539998""","=""13.054501074""","=""4f""","=""2F*""","=""5/2""","=""5d""","=""2D""","=""3/2""",,
"=""40522.9631""","=""4.3010e+05""","=""5.2942e-02""",AAA,"=""12.74853811674""","=""[13.054498464]""","=""4p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",,
"=""40522.9992""","=""1.8849e+05""","=""2.3202e-02""",AAA,"=""12.7485381084""","=""13.054498182""","=""4d""","=""2D""","=""3/2""","=""5p""","=""2P*""","=""1/2""",,
"=""41707.97""","=""8.2716e+03""","=""1.0124e-02""",AAA,"=""13.22070389""","=""[13.51797128]""","=""6""","=""""","=""""","=""13""","=""""","=""""",,
"=""43764.58""","=""1.2884e+04""","=""1.4794e-02""",AAA,"=""13.22070389""","=""13.50400193""","=""6""","=""""","=""""","=""12""","=""""","=""""",,
"=""46537.74""","=""3.2528e+05""","=""2.0700e-01""",AAA,"=""13.0545017""","=""13.32091817""","=""5""","=""""","=""""","=""7""","=""""","=""""",,
"=""46725.12""","=""2.1096e+04""","=""2.3202e-02""",AAA,"=""13.22070389""","=""13.48605194""","=""6""","=""""","=""""","=""11""","=""""","=""""",,
"=""50913.21""","=""7.5169e+02""","=""2.3839e-03""",AAA,"=""13.32091817""","=""[13.56443886]""","=""7""","=""""","=""""","=""20""","=""""","=""""",,
"=""51286.62""","=""3.6881e+04""","=""4.0387e-02""",AAA,"=""13.22070389""","=""13.46245155""","=""6""","=""""","=""""","=""10""","=""""","=""""",,
"=""51692.82""","=""9.8498e+02""","=""2.9062e-03""",AAA,"=""13.32091817""","=""[13.56076619]""","=""7""","=""""","=""""","=""19""","=""""","=""""",,
"=""52636.85""","=""1.3121e+03""","=""3.6028e-03""",AAA,"=""13.32091817""","=""[13.55646454]""","=""7""","=""""","=""""","=""18""","=""""","=""""",,
"=""53797.76""","=""1.7812e+03""","=""4.5568e-03""",AAA,"=""13.32091817""","=""[13.55138166]""","=""7""","=""""","=""""","=""17""","=""""","=""""",,
"=""55251.90""","=""2.4709e+03""","=""5.9062e-03""",AAA,"=""13.32091817""","=""[13.54531624]""","=""7""","=""""","=""""","=""16""","=""""","=""""",,
"=""57114.64""","=""3.5158e+03""","=""7.8926e-03""",AAA,"=""13.32091817""","=""[13.53799772]""","=""7""","=""""","=""""","=""15""","=""""","=""""",,
"=""59082.20""","=""7.0652e+04""","=""8.3164e-02""",AAA,"=""13.22070389""","=""13.43055424""","=""6""","=""""","=""""","=""9""","=""""","=""""",,
"=""59568.45""","=""5.1562e+03""","=""1.0968e-02""",AAA,"=""13.32091817""","=""[13.52905552]""","=""7""","=""""","=""""","=""14""","=""""","=""""",,
"=""62919.18""","=""7.8457e+03""","=""1.6054e-02""",AAA,"=""13.32091817""","=""[13.51797128]""","=""7""","=""""","=""""","=""13""","=""""","=""""",,
"=""67719.93""","=""1.2503e+04""","=""2.5253e-02""",AAA,"=""13.32091817""","=""13.50400193""","=""7""","=""""","=""""","=""12""","=""""","=""""",,
