ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
"=""209205.5""","=""2.3773e+03""","=""3.3002e-02""",AAA,"=""13.48605194""","=""[13.54531624]""","=""11""","=""""","=""""","=""16""","=""""","=""""",,
"=""218419.5""","=""8.2236e+02""","=""1.4745e-02""",AAA,"=""13.50400193""","=""[13.56076619]""","=""12""","=""""","=""""","=""19""","=""""","=""""",,
"=""223315.6""","=""9.2309e+03""","=""1.1663e-01""",AAA,"=""13.46245155""","=""[13.51797128]""","=""10""","=""""","=""""","=""13""","=""""","=""""",,
"=""223404.2""","=""2.8131e+04""","=""3.1443e-01""",AAA,"=""13.43055424""","=""13.48605194""","=""9""","=""""","=""""","=""11""","=""""","=""""",,
"=""236328.7""","=""1.1587e+03""","=""2.1830e-02""",AAA,"=""13.50400193""","=""[13.55646454]""","=""12""","=""""","=""""","=""18""","=""""","=""""",,
"=""238680.1""","=""3.6992e+03""","=""5.8748e-02""",AAA,"=""13.48605194""","=""[13.53799772]""","=""11""","=""""","=""""","=""15""","=""""","=""""",,
"=""261681.9""","=""1.6929e+03""","=""3.4879e-02""",AAA,"=""13.50400193""","=""[13.55138166]""","=""12""","=""""","=""""","=""17""","=""""","=""""",,
"=""266818.7""","=""6.1190e+02""","=""1.5458e-02""",AAA,"=""[13.51797128]""","=""[13.56443886]""","=""13""","=""""","=""""","=""20""","=""""","=""""",,
"=""278033.8""","=""1.2328e+05""","=""1.8083e+00""",AAA,"=""13.38596103""","=""13.43055424""","=""8""","=""""","=""""","=""9""","=""""","=""""",,
"=""288311.4""","=""6.1856e+03""","=""1.2486e-01""",AAA,"=""13.48605194""","=""[13.52905552]""","=""11""","=""""","=""""","=""14""","=""""","=""""",,
"=""289717.2""","=""8.5323e+02""","=""2.2935e-02""",AAA,"=""[13.51797128]""","=""[13.56076619]""","=""13""","=""""","=""""","=""19""","=""""","=""""",,
"=""298394.9""","=""1.7740e+04""","=""3.4100e-01""",AAA,"=""13.46245155""","=""13.50400193""","=""10""","=""""","=""""","=""12""","=""""","=""""",,
"=""300099.9""","=""2.5962e+03""","=""6.2317e-02""",AAA,"=""13.50400193""","=""[13.54531624]""","=""12""","=""""","=""""","=""16""","=""""","=""""",,
"=""322093.2""","=""1.2323e+03""","=""3.6745e-02""",AAA,"=""[13.51797128]""","=""[13.55646454]""","=""13""","=""""","=""""","=""18""","=""""","=""""",,
"=""350402.7""","=""6.3972e+02""","=""2.4032e-02""",AAA,"=""[13.52905552]""","=""[13.56443886]""","=""14""","=""""","=""""","=""20""","=""""","=""""",,
"=""364704.6""","=""4.2709e+03""","=""1.3307e-01""",AAA,"=""13.50400193""","=""[13.53799772]""","=""12""","=""""","=""""","=""15""","=""""","=""""",,
"=""371094.8""","=""1.8658e+03""","=""6.5873e-02""",AAA,"=""[13.51797128]""","=""[13.55138166]""","=""13""","=""""","=""""","=""17""","=""""","=""""",,
"=""388429.8""","=""1.1633e+04""","=""3.6752e-01""",AAA,"=""13.48605194""","=""[13.51797128]""","=""11""","=""""","=""""","=""13""","=""""","=""""",,
"=""388697.9""","=""7.1514e+04""","=""1.9998e+00""",AAA,"=""13.43055424""","=""13.46245155""","=""9""","=""""","=""""","=""10""","=""""","=""""",,
"=""390985.7""","=""9.1446e+02""","=""3.8601e-02""",AAA,"=""[13.52905552]""","=""[13.56076619]""","=""14""","=""""","=""""","=""19""","=""""","=""""",,
"=""452348""","=""1.3689e+03""","=""6.9418e-02""",AAA,"=""[13.52905552]""","=""[13.55646454]""","=""14""","=""""","=""""","=""18""","=""""","=""""",,
"=""453408""","=""3.0257e+03""","=""1.4126e-01""",AAA,"=""[13.51797128]""","=""[13.54531624]""","=""13""","=""""","=""""","=""16""","=""""","=""""",,
"=""468906""","=""6.9026e+02""","=""4.0450e-02""",AAA,"=""[13.53799772]""","=""[13.56443886]""","=""15""","=""""","=""""","=""20""","=""""","=""""",,
"=""494876""","=""7.8842e+03""","=""3.9401e-01""",AAA,"=""13.50400193""","=""[13.52905552]""","=""12""","=""""","=""""","=""14""","=""""","=""""",,
"=""525348""","=""4.3766e+04""","=""2.1912e+00""",AAA,"=""13.46245155""","=""13.48605194""","=""10""","=""""","=""""","=""11""","=""""","=""""",,
"=""544543""","=""1.0228e+03""","=""7.2954e-02""",AAA,"=""[13.53799772]""","=""[13.56076619]""","=""15""","=""""","=""""","=""19""","=""""","=""""",,
"=""555332""","=""2.1920e+03""","=""1.4943e-01""",AAA,"=""[13.52905552]""","=""[13.55138166]""","=""14""","=""""","=""""","=""17""","=""""","=""""",,
"=""619103""","=""5.4961e+03""","=""4.2047e-01""",AAA,"=""[13.51797128]""","=""[13.53799772]""","=""13""","=""""","=""""","=""15""","=""""","=""""",,
"=""648364""","=""7.7670e+02""","=""7.6483e-02""",AAA,"=""[13.54531624]""","=""[13.56443886]""","=""16""","=""""","=""""","=""20""","=""""","=""""",,
"=""671389""","=""1.6195e+03""","=""1.5760e-01""",AAA,"=""[13.53799772]""","=""[13.55646454]""","=""15""","=""""","=""""","=""18""","=""""","=""""",,
"=""690720""","=""2.7989e+04""","=""2.3825e+00""",AAA,"=""13.48605194""","=""13.50400193""","=""11""","=""""","=""""","=""12""","=""""","=""""",,
"=""762476""","=""3.9258e+03""","=""4.4691e-01""",AAA,"=""[13.52905552]""","=""[13.54531624]""","=""14""","=""""","=""""","=""16""","=""""","=""""",,
"=""802490""","=""1.2175e+03""","=""1.6575e-01""",AAA,"=""[13.54531624]""","=""[13.56076619]""","=""16""","=""""","=""""","=""19""","=""""","=""""",,
"=""887545""","=""1.8569e+04""","=""2.5737e+00""",AAA,"=""13.50400193""","=""[13.51797128]""","=""12""","=""""","=""""","=""13""","=""""","=""""",,
"=""926365""","=""2.8644e+03""","=""4.7334e-01""",AAA,"=""[13.53799772]""","=""[13.55138166]""","=""15""","=""""","=""""","=""17""","=""""","=""""",,
"=""949547""","=""9.2951e+02""","=""1.7390e-01""",AAA,"=""[13.55138166]""","=""[13.56443886]""","=""17""","=""""","=""""","=""20""","=""""","=""""",,
"=""1112136""","=""2.1295e+03""","=""4.9975e-01""",AAA,"=""[13.54531624]""","=""[13.55646454]""","=""16""","=""""","=""""","=""18""","=""""","=""""",,
"=""1118563""","=""1.2709e+04""","=""2.7648e+00""",AAA,"=""[13.51797128]""","=""[13.52905552]""","=""13""","=""""","=""""","=""14""","=""""","=""""",,
"=""1321156""","=""1.6097e+03""","=""5.2616e-01""",AAA,"=""[13.55138166]""","=""[13.56076619]""","=""17""","=""""","=""""","=""19""","=""""","=""""",,
"=""1386510""","=""8.9344e+03""","=""2.9560e+00""",AAA,"=""[13.52905552]""","=""[13.53799772]""","=""14""","=""""","=""""","=""15""","=""""","=""""",,
"=""1554790""","=""1.2350e+03""","=""5.5254e-01""",AAA,"=""[13.55646454]""","=""[13.56443886]""","=""18""","=""""","=""""","=""20""","=""""","=""""",,
"=""1694110""","=""6.4283e+03""","=""3.1470e+00""",AAA,"=""[13.53799772]""","=""[13.54531624]""","=""15""","=""""","=""""","=""16""","=""""","=""""",,
"=""2044120""","=""4.7203e+03""","=""3.3380e+00""",AAA,"=""[13.54531624]""","=""[13.55138166]""","=""16""","=""""","=""""","=""17""","=""""","=""""",,
"=""2439250""","=""3.5289e+03""","=""3.5291e+00""",AAA,"=""[13.55138166]""","=""[13.55646454]""","=""17""","=""""","=""""","=""18""","=""""","=""""",,
"=""2882250""","=""2.6808e+03""","=""3.7201e+00""",AAA,"=""[13.55646454]""","=""[13.56076619]""","=""18""","=""""","=""""","=""19""","=""""","=""""",,
"=""3375860""","=""2.0659e+03""","=""3.9108e+00""",AAA,"=""[13.56076619]""","=""[13.56443886]""","=""19""","=""""","=""""","=""20""","=""""","=""""",,
"=""302478400""","=""6.5962e-07""","=""1.8095e-05""",AAA,"=""10.19881052514816""","=""10.19885151459""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,
"=""923930000""","=""8.6794e-08""","=""2.2216e-05""",AAA,"=""12.0874936591""","=""12.0875070783""","=""3p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",,
"=""1021346000""","=""1.0280e-07""","=""3.2154e-05""",AAA,"=""12.0874949611""","=""12.0875071004""","=""3s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
"=""2189700000""","=""2.7818e-08""","=""3.9994e-05""",AAA,"=""12.74853244632""","=""12.7485381084""","=""4p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",,
"=""2421520000""","=""2.5712e-08""","=""4.5207e-05""",AAA,"=""12.74853299663""","=""12.74853811674""","=""4s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
"=""2781250000""","=""3.8183e-09""","=""6.6420e-06""",AAA,"=""12.0875071004""","=""12.0875115582""","=""3p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",,
"=""4288000000""","=""1.0132e-08""","=""5.5850e-05""",AAA,"=""13.054498182""","=""13.054501074""","=""5p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,
"=""4728130000""","=""8.6353e-09""","=""5.7882e-05""",AAA,"=""[13.054498464]""","=""13.054501086""","=""5s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
"=""6562000000""","=""7.2369e-10""","=""7.0070e-06""",AAA,"=""12.7485381084""","=""12.748539998""","=""4d""","=""2D""","=""3/2""","=""4f""","=""2F*""","=""5/2""",,
"=""6592100000""","=""1.2235e-09""","=""1.1956e-05""",AAA,"=""12.74853811674""","=""12.74853999753""","=""4p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",,
"=""12980000000""","=""4.3856e-10""","=""1.6608e-05""",AAA,"=""13.054501086""","=""[13.054502042]""","=""5p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",,
"=""13151000000""","=""9.6310e-11""","=""3.3296e-06""",AAA,"=""12.74853999753""","=""12.7485409403""","=""4d""","=""2D""","=""5/2""","=""4f""","=""2F*""","=""7/2""",,
"=""25600000000""","=""4.6551e-11""","=""6.1053e-06""",AAA,"=""[13.054502042]""","=""13.054502526""","=""5d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""7/2""",,
